,TRAINING ACTIVITIES,DAYS,HOURS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Induction program,1.0,8.0,,,,,,,,,
1,Interns engagement,1.0,8.0,,,,,,,,,
2,ERP Introduction,1.0,3.0,,,,,,,,,
3,Overview of ERP,1.0,3.0,,,,,,,,,
4,Overview of BP,7.0,14.0,,,,,,,,,
5,"Digiverz Training( Ang , python & flask, AI/ML 1 & 2 power BI)",10.0,20.0,,,,,,,,,
6,Overview of ABAP,1.0,3.0,,,,,,,,,
7,Project # 1,10.0,80.0,,,,,,,,,
8,Project Review,,,,,,,,,,,
9,AUTO OFFER APPROVAL,,,,,,Practces,,,,,
10,"MM, PM, FICO & QM",4.0,4.0,,,,Buy side,MM,Material Management,,,
11,"SD, EHSM, HCM, PP",4.0,4.0,,,,Sell side,SD,Sales & Distribution,,,
12,"Overview of Basis , Infra ",2.0,3.0,,,,Manufacturing,"PP, PM, QM, EHSM",Production planning,Plant manitenance,Quality management,"Environmental, Helath & Safety management"
13,Node & Express,1.0,2.0,,,,HCM,HCM,Human Capital Mnagement,,,
14,ABAP Training,15.0,30.0,,,,Finance,FICO,Finance & Controlling,,,
15,OData Training,3.0,6.0,,,,,,,,,
16,SAP ui5 Training,3.0,6.0,,,,Basis,System Adminstration,,,,
17,SAP Fiori Training,3.0,6.0,,,,Infra,Servers U cloud based systems,,,,
18,SAP PIPO Training,4.0,8.0,,,,Deeptech,,,,,
19,ABAP ON HANA,2.0,4.0,,,,Data & Analytics,,,,,
20,CDS VIEWS,1.0,2.0,,,,,,,,,
21,RFC Enabled modules,1.0,2.0,,,,Digiverz,Open source technologies,,,,
22,SAP BAS ,1.0,2.0,,,,,,,,,
23,BTP Training ,6.0,12.0,,,,,,,,,
24,FRS explanation,1.0,2.0,,,,Mena North,,,,,
25,Customer Portal Development,7.0,,,,,Mena South,,,,,
26,Vendor Portal Development,7.0,,,,,West ,US PA,,,,
27,Employee Portal Development,7.0,,,,,,US MM,,,,
28,Maintenance Portal Development,7.0,,,,,,UK,,,,
29,Shop Floor Portal Development,7.0,,,,,,,,,,
30,EHSM Portal Development,7.0,,,,,,,,,,
31,Quality Portal Development,7.0,,,,,,,,,,
32,Finance Portal Development ,7.0,,,,,,,,,,
33,PMO Training,1.0,4.0,,,,,,,,,
34,Ktern Training,1.0,8.0,,,,,,,,,
35,  Final Review,,,,,,,,,,,
36,MS WORD & EXCEL TRAINING(self learnt),2.0,8.0,,,,,,,,,
